Version,EC Level,Total Data Codewords,EC Codewords Per Block,Number of Blocks in Group 1,Data Codewords per Block in Group 1,Number of Blocks in Group 2,Data Codewords per Block in Group 2,Total Data Codewords
1,L,19,7,1,19,,,19
1,M,16,10,1,16,,,16
1,Q,13,13,1,13,,,13
1,H,9,17,1,9,,,9
2,L,34,10,1,34,,,34
2,M,28,16,1,28,,,28
2,Q,22,22,1,22,,,22
2,H,16,28,1,16,,,16
3,L,55,15,1,55,,,55
3,M,44,26,1,44,,,44
3,Q,34,18,2,17,2,17,34
3,H,26,22,2,13,2,13,26
4,L,80,20,1,80,,,80
4,M,64,18,2,32,2,32,64
4,Q,48,26,2,24,2,24,48
4,H,36,16,4,9,4,9,36
5,L,108,26,1,108,,,108
5,M,86,24,2,43,2,43,86
5,Q,62,18,2,15,2,16,62
5,H,46,22,2,11,2,12,46
6,L,136,18,2,68,,,136
6,M,108,16,4,27,4,27,108
6,Q,76,24,4,19,4,19,76
6,H,60,28,4,15,4,15,60
7,L,156,20,2,78,,,156
7,M,124,18,4,31,4,31,124
7,Q,88,18,2,14,4,15,88
7,H,66,26,4,13,1,14,66
8,L,194,24,2,97,,,194
8,M,154,22,2,38,2,39,154
8,Q,110,22,4,18,2,19,110
8,H,86,26,4,14,2,15,86
9,L,232,30,2,116,,,232
9,M,182,22,3,36,2,37,182
9,Q,132,20,4,16,4,17,132
9,H,100,24,4,12,4,13,100
10,L,274,18,2,68,2,69,274
10,M,216,26,4,43,1,44,216
10,Q,154,24,6,19,2,20,154
10,H,122,28,6,15,2,16,122
11,L,324,20,4,81,,,324
11,M,254,30,1,50,4,51,254
11,Q,180,28,4,22,4,23,180
11,H,140,24,3,12,8,13,140
12,L,370,24,2,92,2,93,370
12,M,290,22,6,36,2,37,290
12,Q,206,26,4,20,6,21,206
12,H,158,28,7,14,4,15,158
13,L,428,26,4,107,,,428
13,M,334,22,8,37,1,38,334
13,Q,244,24,8,20,4,21,244
13,H,180,22,12,11,4,12,180
14,L,461,30,3,115,1,116,461
14,M,365,24,4,40,5,41,365
14,Q,261,20,11,16,5,17,261
14,H,197,24,11,12,5,13,197
15,L,523,22,5,87,1,88,523
15,M,415,24,5,41,5,42,415
15,Q,295,30,5,24,7,25,295
15,H,223,24,11,12,7,13,223
16,L,589,24,5,98,1,99,589
16,M,453,28,7,45,3,46,453
16,Q,325,24,15,19,2,20,325
16,H,253,30,3,15,13,16,253
17,L,647,28,1,107,5,108,647
17,M,507,28,10,46,1,47,507
17,Q,367,28,1,22,15,23,367
17,H,283,28,2,14,17,15,283
18,L,721,30,5,120,1,121,721
18,M,563,26,9,43,4,44,563
18,Q,397,28,17,22,1,23,397
18,H,313,28,2,14,19,15,313
19,L,795,28,3,113,4,114,795
19,M,627,26,3,44,11,45,627
19,Q,445,26,17,21,4,22,445
19,H,341,26,9,13,18,14,341
20,L,861,28,3,107,5,108,861
20,M,669,26,3,41,13,42,669
20,Q,485,30,15,24,5,25,485
20,H,385,28,15,15,10,16,385
21,L,932,28,4,116,4,117,932
21,M,714,26,17,42,7,43,714
21,Q,512,28,17,22,6,23,512
21,H,406,30,19,16,6,17,406
22,L,1006,28,2,111,7,112,1006
22,M,782,28,17,46,,782
